food name,calcium (mg),calories (kcal),carbohydrates (g),fats (g),fibre (g),folate (µg),free sugar (g),iron (mg),protein (g),sodium (mg),vitamin c (mg),Category
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),36.1,424.8,47.1,23.62,1.54,4.22,22.58,1.37,6.56,280.44,0.16,piece_based
Chocolate chip cookies,24.76,425.29,57.98,19.38,1.05,2.62,30.29,1.22,5.79,278.29,0.0,piece_based
Sweet plain biscuit,42.88,380.76,50.29,17.67,1.07,1.7,21.77,0.92,5.86,132.59,0.03,piece_based
Chocolate biscuit,41.51,379.76,51.56,17.09,1.01,1.81,24.16,1.14,5.88,127.02,0.03,piece_based
Coconut biscuit (Nariyal ke biscuit),37.81,434.98,42.9,27.16,3.64,2.51,20.76,1.32,5.78,105.76,0.03,piece_based
Sweet and salty biscuit (Meethay aur namkeen biscuit),37.24,407.96,45.09,22.39,1.68,1.02,7.22,1.05,6.15,414.7,0.03,piece_based
Peanut biscuit,50.58,401.05,46.72,20.41,2.48,4.23,21.26,1.34,8.45,202.26,0.03,piece_based
Pin wheel biscuit,42.7,404.6,54.56,18.66,1.16,1.72,23.25,1.13,5.4,131.73,0.05,piece_based
Saffron biscuit (Kesar biscuit),25.71,458.61,59.7,22.01,1.9,1.1,22.42,1.23,6.05,5.65,0.01,piece_based
Masala biscuit,53.73,393.64,45.18,20.75,2.14,2.15,6.82,1.32,6.06,714.52,0.15,piece_based
Ice box cookies,18.5,374.24,56.09,14.44,1.28,1.64,26.69,1.04,5.7,449.14,0.1,piece_based
Ginger bread man,37.92,365.0,60.26,11.01,1.6,4.65,29.12,2.12,6.61,477.99,0.09,piece_based
Danish cookies,15.97,475.33,58.0,24.92,1.37,1.02,21.73,0.98,5.33,201.06,0.0,piece_based
Short bread cookies,15.92,443.09,64.82,17.98,1.57,1.62,23.31,1.12,6.03,145.0,0.0,piece_based
Coffee biscuit,48.92,416.57,46.55,23.0,1.59,3.0,21.69,1.27,6.9,112.53,0.03,piece_based
Melting moments,30.39,437.91,55.84,21.78,1.88,3.59,25.0,1.2,5.71,119.09,0.0,piece_based
Ginger biscuit (Adarak ke biscuit),25.97,417.91,58.44,18.31,1.49,1.59,27.06,2.2,5.98,79.68,0.0,piece_based
Soyabean muthias,12.16,839.33,3.7,90.45,1.47,22.43,0.17,0.6,2.46,78.25,0.79,piece_based
Soyabean tikki,29.23,698.17,4.39,74.02,2.2,57.9,0.35,1.04,3.53,88.72,6.71,piece_based
Soyabean namak paras,12.13,838.46,4.65,89.83,1.41,45.64,0.22,0.64,2.65,72.05,0.0,piece_based
Peanut burfi (Moongfali ki burfi),25.2,550.99,48.14,36.84,4.09,7.57,43.08,1.45,9.31,6.78,0.0,piece_based
Spinach peanut namak paras (Palak moongfali namak paras),13.35,740.16,6.62,78.51,0.81,64.2,0.28,0.67,1.65,73.15,11.39,piece_based
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),12.13,758.89,7.63,80.04,1.39,34.83,0.25,0.67,2.08,74.88,3.8,piece_based
Rice moong dal cheela (Chawal aur moong dal ka cheela),4.99,798.26,11.13,82.44,1.18,12.8,0.15,0.51,2.74,142.82,0.0,bowl_based
Split bengal gram sweet rice (Channa dal sweet rice),30.37,190.21,41.07,0.64,2.23,48.48,19.41,1.77,4.15,8.38,0.0,bowl_based
Sweet poori (Meethi poori),34.24,782.75,14.26,79.63,1.54,18.38,7.15,1.13,2.12,2.57,0.0,piece_based
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),25.2,441.08,60.0,18.41,6.02,9.07,31.12,2.3,9.84,5.25,0.0,katori_based
Spinach burfi (Palak burfi),93.68,121.17,12.76,6.81,1.17,39.63,12.12,1.05,2.71,27.77,8.57,piece_based
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),53.3,366.59,62.66,7.93,8.16,27.67,24.73,4.36,9.51,12.05,0.0,katori_based
Sprouted moong daliya ,22.62,111.56,14.77,4.71,3.12,35.24,1.67,1.29,2.81,196.73,7.53,katori_based
Sprouted moong poha ,28.39,192.6,26.6,6.89,3.13,46.81,1.93,2.43,5.59,220.82,19.24,piece_based
Pearl millet ladoo (Bajra ladoo),118.74,319.66,50.98,8.06,6.0,19.1,27.44,4.72,9.61,12.26,0.0,piece_based
Paushtik ladoo,20.67,485.87,60.34,24.98,4.57,16.16,38.12,1.63,7.65,6.09,0.0,piece_based
Paushtik roti,52.74,149.26,26.59,1.51,5.74,42.1,2.03,2.62,7.17,170.96,6.65,piece_based
Semolina carrot vada (Suji gajar vada),26.47,699.53,6.52,74.07,1.07,9.36,1.21,0.36,1.56,73.17,0.95,piece_based
Dhokla,123.21,216.49,30.68,5.28,4.95,39.92,4.78,1.39,13.45,376.02,0.68,piece_based
Kashmiri tea (Kehwa),3.19,24.9,5.23,0.51,0.16,0.82,5.14,0.07,0.17,0.29,0.06,piece_based
Steeped hot coffee,10.4,15.91,3.01,0.33,0.0,1.27,2.96,0.06,0.39,2.82,0.3,piece_based
Hot chocolate,113.63,90.01,9.02,4.61,0.0,13.41,8.86,0.33,3.43,36.04,3.62,piece_based
Cold coffee (with cream),64.43,82.76,11.98,3.29,0.0,9.52,11.91,0.14,1.93,15.35,2.56,piece_based
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),68.3,76.45,11.15,2.77,0.27,20.73,9.94,0.14,2.01,16.63,6.99,piece_based
Flavoured milkshake,75.05,66.78,8.65,2.83,0.0,12.65,8.61,0.11,2.06,16.34,3.62,piece_based
Jal jeera,24.72,30.24,6.7,0.26,0.95,4.47,5.71,0.84,0.44,215.62,2.23,piece_based
Gingo,6.33,48.02,12.42,0.06,0.17,8.49,12.08,0.21,0.14,21.5,8.39,piece_based
Mintade,2.1,40.32,10.59,0.02,0.03,4.69,10.47,0.05,0.03,26.69,8.5,piece_based
Canjee,5.82,6.61,0.44,0.42,0.36,3.61,0.21,0.17,0.24,43.03,0.52,piece_based
Cauliflower canjee (Phoolgobhi ki canjee),6.26,6.9,0.35,0.42,0.49,9.26,0.09,0.22,0.39,41.45,7.86,piece_based
Potato canjee (Aloo canjee),5.21,16.26,2.69,0.39,0.43,6.77,0.1,0.22,0.44,35.99,7.72,piece_based
Vermicelli porridge (Semiya/Seviyan porridge),72.96,78.4,10.56,2.98,0.48,19.51,7.04,0.2,2.5,65.33,4.82,piece_based
Semolina upma (Suji/Rava upma),21.57,147.89,16.31,7.49,3.24,15.13,1.31,1.1,3.3,101.59,4.64,piece_based
Vermicelli upma (Semiya/Seviyan upma),20.3,149.11,16.88,7.45,3.21,12.64,1.4,0.93,3.11,101.8,4.64,piece_based
Rice upma,17.57,151.27,17.96,7.46,2.12,11.94,1.13,0.67,2.63,101.75,4.64,bowl_based
Bread upma,45.22,129.51,12.6,7.75,1.96,15.79,1.56,0.82,2.8,176.44,4.64,piece_based
Vegetable upma,26.68,146.47,16.46,6.63,4.19,50.48,1.39,1.35,4.73,347.02,14.42,piece_based
Poha,37.67,294.53,35.05,14.14,3.72,11.96,0.87,3.01,6.09,377.1,6.62,piece_based
Vegetable poha,28.01,180.52,21.52,8.07,3.76,21.79,1.4,1.92,4.89,418.02,7.21,piece_based
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),39.34,154.89,19.42,5.11,4.25,79.95,1.11,2.22,6.97,267.23,34.81,katori_based
Paneer stuffed cheela/chilla,151.3,205.19,19.16,8.89,4.03,116.52,3.81,2.41,11.44,289.1,19.76,piece_based
Indian style egg bhujia (Anda bhujia (Indian style)),31.9,102.83,3.76,7.02,1.53,40.85,1.95,1.14,6.1,218.05,13.56,piece_based
French omelette/omlet,46.35,211.04,0.41,18.86,0.38,25.79,0.1,1.58,10.03,381.85,0.48,piece_based
Puffy omelette/omlet,34.96,188.15,0.08,16.84,0.0,24.66,0.08,1.2,8.82,340.53,0.0,piece_based
Orange omelette/omlet,37.33,194.66,1.68,16.84,0.0,28.86,1.68,1.26,8.93,340.92,7.2,piece_based
Cheese and mushroom omelette/omlet,148.77,205.63,1.68,17.82,0.93,32.02,1.07,1.01,9.69,400.29,0.48,piece_based
Spanish omelette/omlet,31.72,157.45,5.1,11.44,2.54,61.18,1.03,1.28,8.25,233.87,28.63,piece_based
Mixed stock,2.06,25.19,0.33,1.71,0.15,16.58,0.2,0.07,2.06,9.51,2.58,piece_based
Meat stock,0.86,24.48,0.0,1.78,0.0,6.0,0.0,0.05,2.1,8.62,0.0,piece_based
White stock,1.58,6.99,0.4,0.56,0.17,10.58,0.24,0.03,0.07,1.56,2.58,piece_based
Meat consomme (with mutton),115.88,29.76,0.51,13.68,0.71,15.49,0.24,4.22,14.86,12665.52,2.44,piece_based
Consomme au julienne,85.89,27.76,1.49,10.66,1.38,55.26,0.83,3.34,12.49,10208.47,11.77,piece_based
Consomme au vermicelli,97.34,29.94,1.3,12.98,0.81,20.12,0.27,3.98,15.23,12524.61,2.44,piece_based
Green pea soup (Matar ka soup),46.63,39.81,3.63,12.9,2.49,65.46,0.87,2.18,11.06,10958.11,41.12,katori_based
Spinach soup (Palak ka soup),56.23,32.59,3.03,14.26,1.98,150.94,0.29,2.68,10.54,12088.21,30.99,katori_based
Mixed vegetable soup,50.69,35.71,2.95,11.66,1.64,31.61,1.64,1.74,8.22,9202.27,20.06,katori_based
Cheese soup,83.65,41.13,1.87,17.07,1.8,20.27,0.84,2.4,12.39,13695.35,5.29,katori_based
Mulligatawny soup,43.89,54.42,8.24,13.28,2.6,27.88,1.26,2.65,11.26,11602.5,8.37,katori_based
Cream of carrot soup,57.24,59.77,5.69,12.35,1.98,37.89,1.77,1.73,8.27,8694.79,10.68,katori_based
Cream of broccoli soup,66.55,56.14,3.72,12.75,1.89,94.43,1.59,1.82,8.97,8792.43,68.91,katori_based
Cream of potato soup,51.97,60.2,6.14,12.05,1.51,33.19,1.24,1.7,8.1,8503.99,28.86,katori_based
Almond soup (Badam ka soup),114.95,78.65,3.68,13.8,0.91,38.67,1.94,2.83,10.13,8376.94,7.68,katori_based
Cold cucumber cream soup ,8.02,11.88,1.76,0.34,0.73,24.84,0.51,0.16,0.34,207.89,14.72,katori_based
Cold tomato soup,4.2,16.9,0.59,1.56,0.16,5.63,0.22,0.1,0.11,287.15,10.09,katori_based
Chicken stew,31.53,127.55,4.44,8.91,1.82,36.31,1.43,0.9,7.19,79.62,20.89,piece_based
Veg paneer stew,160.51,145.55,10.22,8.41,3.08,102.72,4.85,1.37,6.98,73.15,32.41,piece_based
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),24.91,191.27,26.37,7.27,5.16,16.17,2.71,1.81,4.37,241.19,3.05,piece_based
Methi parantha/paratha,65.85,148.36,22.19,4.34,5.09,28.46,2.44,2.42,4.27,48.36,12.63,piece_based
Bathua poori,30.83,598.79,13.85,59.14,1.87,8.77,0.41,0.96,2.35,49.71,4.56,piece_based
Gram flour poori (Besan poori),7.09,697.66,10.93,71.51,1.94,11.18,0.35,0.71,2.59,58.33,0.0,piece_based
Beetroot poori (Chukandar ki poori),5.38,527.66,12.29,52.18,1.4,9.45,0.54,0.6,1.91,46.48,0.29,piece_based
Peas poori (Matar ki poori),8.96,592.83,14.92,57.69,2.25,10.21,0.48,0.84,3.04,47.77,4.61,piece_based
Peas kachori (Matar kachori),14.25,584.68,13.25,57.51,2.03,16.43,0.5,0.77,3.21,55.45,10.11,piece_based
Pizza,77.23,146.77,9.94,8.72,1.71,87.58,1.38,0.66,6.85,225.02,42.9,piece_based
Bacon and mushroom pancake,44.74,157.67,8.47,10.6,1.59,14.58,1.23,0.54,6.82,344.23,1.91,piece_based
Cheese and tomato pancake,127.51,147.39,10.66,9.28,1.06,16.52,3.48,0.64,5.15,281.62,9.72,piece_based
Minced meat pancake (with chicken),64.72,116.04,8.18,10.48,0.7,12.77,1.29,1.99,12.01,4942.18,2.14,piece_based
Eggplant/Brinjal rice (Vangi bhat),36.02,184.8,31.74,3.67,4.44,77.11,4.36,1.91,5.28,59.06,3.23,bowl_based
Kashmiri 'tahar',3.93,98.21,19.11,1.37,0.98,7.94,0.17,0.32,1.95,61.29,0.02,piece_based
Cumin pulao (Jeera/Zeera pulao),7.25,135.24,23.61,3.2,1.4,13.85,0.64,0.33,2.47,219.73,1.42,piece_based
Peas pulao (Matar pulao),18.18,108.87,18.42,1.9,3.21,110.56,1.3,0.78,3.89,86.18,62.36,piece_based
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),19.09,116.53,19.72,2.3,3.16,104.21,1.59,0.82,3.6,98.07,27.07,katori_based
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),16.51,125.51,21.55,2.58,2.69,88.34,1.99,0.77,3.44,103.09,8.11,piece_based
Mutton pulao,49.87,130.77,11.26,10.78,1.65,39.34,1.0,1.25,6.52,3115.59,4.47,piece_based
Chicken pulao,32.25,108.24,11.17,8.48,1.64,38.7,0.99,0.98,6.07,3093.47,4.47,piece_based
Mexican rice,14.51,120.57,14.21,4.88,1.64,53.09,1.44,0.55,4.62,93.42,42.71,bowl_based
Plain khitchdi (Plain khichri/khichdi),5.05,57.03,10.04,1.01,0.85,26.18,0.12,0.31,1.72,37.14,0.83,piece_based
Instant idli (with semolina),93.2,247.29,43.4,3.61,7.13,9.08,3.35,2.31,9.16,1504.66,0.14,piece_based
Plain dosa,19.35,380.91,64.08,8.43,5.23,9.16,0.7,1.5,10.34,142.98,0.0,piece_based
Masala dosa mixed vegetable fillings,31.79,144.53,23.02,3.26,4.31,89.33,1.53,1.21,4.84,122.08,52.07,piece_based
Masala dosa paneer fillings,171.23,243.12,29.76,8.84,3.11,94.26,4.81,1.27,10.31,160.4,11.5,piece_based
Uttapam,40.86,255.95,36.28,9.03,4.4,19.02,1.5,1.23,6.18,228.69,6.15,piece_based
Appam,6.36,267.7,13.28,22.63,6.19,27.59,4.16,0.83,3.12,26.59,2.57,piece_based
Beans and macaroni,86.86,136.08,14.24,7.01,2.05,82.63,1.68,0.75,4.58,182.79,16.54,piece_based
Spaghetti bolognese,73.66,97.43,10.04,9.51,1.08,37.77,1.41,2.06,9.35,5358.6,27.89,piece_based
Meat and macaroni casserole,68.28,161.55,16.12,10.17,1.19,47.45,1.0,1.85,9.15,2511.99,29.03,piece_based
Spaghetti with meat balls and tomato sauce,40.82,158.13,10.46,10.64,1.11,63.03,1.87,0.71,5.61,189.13,44.09,piece_based
Spaghetti with paneer balls and tomato sauce,80.73,158.54,12.72,10.44,1.25,98.36,3.03,0.55,3.95,199.55,44.09,piece_based
Lasagne with meat sauce,24.61,63.38,5.38,3.43,0.47,112.65,1.04,0.49,2.9,37.08,80.17,piece_based
Lasagne with vegetables,32.89,49.23,5.9,2.16,0.66,286.76,1.37,0.57,1.71,40.78,179.9,piece_based
Home made egg noodles,15.96,240.84,42.92,4.37,1.6,30.08,1.03,1.15,6.55,177.24,0.0,bowl_based
Sour lentils (Khatti dal),8.29,34.79,6.04,0.12,1.22,22.49,1.25,0.85,2.22,115.6,1.88,katori_based
Urad special dehusked,16.4,69.43,8.86,2.17,2.5,54.46,1.32,0.83,3.14,109.56,17.4,piece_based
Arhar with spinach (Arhar dal aur palak),21.81,52.84,4.77,2.76,1.3,105.9,0.23,0.89,2.05,109.97,18.79,katori_based
Moong dal with vadi,2.99,24.08,1.0,2.05,0.39,11.52,0.45,0.18,0.4,112.36,10.19,katori_based
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),16.56,26.74,3.37,0.88,1.6,28.68,0.83,0.59,1.13,104.11,17.27,piece_based
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),15.56,24.41,2.85,0.87,1.54,28.91,0.44,0.52,1.11,102.77,19.71,piece_based
Green gram whole with baghar (Sabut moong dal with tadka),25.04,63.43,6.8,2.48,3.02,45.28,0.15,1.0,3.23,181.69,0.48,katori_based
Urad sabut special,21.45,79.39,5.03,5.46,2.15,80.51,0.86,0.71,2.33,60.09,28.45,piece_based
Kabuli channa curry,32.03,68.57,7.63,3.06,1.12,93.09,1.24,0.95,2.92,122.05,16.22,katori_based
Besan gatte curry,151.08,189.38,16.26,10.72,3.25,135.02,4.5,1.89,7.75,356.27,13.39,katori_based
Dry masala chops,112.25,135.07,3.3,9.54,0.86,15.19,2.27,1.39,9.08,83.47,1.87,piece_based
Mutton korma,79.07,115.64,2.53,8.54,0.78,31.82,1.64,1.09,7.09,56.94,5.54,piece_based
Shahi keema kofta curry,14.51,418.13,1.73,43.83,0.91,34.57,0.78,0.67,4.14,104.53,20.97,katori_based
Minced meat ball curry,23.84,109.79,2.86,7.85,1.49,33.86,1.27,1.01,6.82,170.06,20.62,katori_based
Boti kebab,98.67,132.86,3.06,9.27,0.76,6.58,2.09,1.41,9.22,78.14,4.52,piece_based
Mutton seekh kebab,117.44,133.94,3.11,8.43,1.88,5.3,1.4,2.19,11.25,102.17,3.97,piece_based
Indian lamb and egg curry (Nargisi kofta),12.91,335.75,2.07,34.7,0.6,44.36,0.75,0.55,3.84,57.44,7.67,katori_based
Soya chunks sweet and sour (Nutrinugget sweet and sour),13.89,500.94,3.27,55.99,0.86,40.59,1.1,0.7,2.85,2257.67,37.78,piece_based
Soya chunks korma (Nutrinugget korma),89.7,131.43,7.67,9.5,2.57,49.69,4.66,1.18,3.86,148.98,11.59,piece_based
Mushroom matar,21.42,70.77,5.33,4.11,3.13,54.07,1.39,0.81,2.79,61.63,39.15,piece_based
Soya chunks and peas (Nutrinugget matar),20.32,82.62,5.82,5.11,2.86,52.1,1.64,0.99,3.03,70.97,39.15,piece_based
Vegetable yakhni,43.67,406.06,1.94,43.8,0.61,60.84,1.44,0.24,1.18,38.05,5.43,piece_based
Spinach mushroom (Palak mushroom),49.75,47.63,2.95,2.96,2.27,232.9,1.0,1.69,1.94,70.97,60.21,piece_based
Vegetarian nargisi kofta curry,47.09,332.15,6.58,32.94,0.86,57.94,1.65,0.38,2.29,73.56,27.25,katori_based
Roast chicken,13.61,199.9,0.1,13.06,0.03,13.16,0.05,0.79,20.49,71.71,0.3,piece_based
Shahi chicken masala,82.68,163.7,4.07,12.02,0.96,65.41,2.86,0.89,9.82,142.56,9.92,piece_based
Tomato chicken,21.24,111.68,2.13,6.71,1.42,24.19,0.93,0.87,10.57,104.83,24.53,piece_based
Creamy chicken,50.37,152.87,3.13,9.57,0.69,32.64,2.11,0.82,13.52,97.08,7.46,piece_based
Broccoli chicken ala king,73.36,119.56,5.34,7.57,1.92,105.46,2.49,0.78,7.97,104.01,79.81,piece_based
Ginger chicken,18.41,129.17,5.6,8.24,1.21,64.3,1.95,0.96,8.24,365.86,49.96,piece_based
Chicken sweet and sour,21.98,445.09,2.67,47.59,0.58,50.11,0.89,0.93,6.92,1809.94,37.78,piece_based
Chicken korma,68.66,147.96,5.43,9.67,1.82,58.86,3.32,1.06,9.83,119.21,10.02,piece_based
Bengal fish curry (Bengali machli curry),44.44,109.43,4.42,7.03,1.93,46.45,2.39,0.85,7.26,76.38,9.39,katori_based
Fish finger,11.38,542.9,4.47,55.82,0.34,34.81,0.17,0.38,5.66,103.55,14.13,piece_based
Fish in coconut milk (Nariyal ke doodh ke saath machli),21.94,86.21,2.73,4.43,1.52,38.0,1.55,0.91,8.66,73.93,10.71,piece_based
Prawn curry (with coconut) (Jhinga curry),37.25,109.55,3.1,6.93,1.56,43.62,2.03,0.96,8.54,375.86,3.72,katori_based
Baked stuffed fish,18.8,121.96,2.12,5.43,0.38,67.06,0.35,0.35,16.14,74.36,13.01,piece_based
Fish pie,36.15,120.9,7.74,5.77,0.76,37.04,1.13,0.46,9.25,101.8,27.02,piece_based
Crispy baked fish,60.04,138.4,9.59,6.41,1.21,46.78,1.53,0.55,10.95,192.42,16.97,piece_based
Fish souffle,63.87,139.71,5.14,8.55,0.19,45.24,2.09,0.59,10.51,92.45,2.41,piece_based
Potato curry (Aloo ki sabzi),23.74,89.56,10.42,4.47,2.42,35.58,1.58,0.97,1.52,78.4,42.18,katori_based
Egg curry (Anda curry),41.59,117.52,4.03,8.81,2.09,44.73,1.9,1.52,5.38,142.12,19.03,katori_based
Vegetable curry with coconut ,19.63,83.07,7.19,4.66,3.35,87.67,1.41,0.95,2.77,43.4,69.6,katori_based
Curd with potatoes (Dahi aloo),36.36,59.9,7.15,2.72,1.19,44.72,1.82,0.47,1.56,51.99,42.93,piece_based
Potato kofta curry (Aloo kofta curry),7.77,455.4,2.78,49.08,0.56,48.57,0.63,0.26,0.56,30.12,46.64,katori_based
Yam kofta curry (Zimikand/Suran kofta curry),8.35,322.88,3.75,33.84,1.04,43.47,0.63,0.31,0.71,42.22,36.07,katori_based
Jackfruit kofta curry (Kathal ka kofta curry),11.36,321.08,3.17,33.83,0.96,63.24,2.4,0.24,0.8,40.04,27.49,katori_based
Spinach and potato (Palak aloo),43.67,57.17,5.91,2.82,2.04,242.0,0.93,1.59,1.63,62.46,78.73,piece_based
Mooli bhujia,131.88,91.2,4.74,7.25,2.36,75.87,1.07,2.37,1.69,89.73,80.77,piece_based
Bathua bhujia,165.84,90.9,3.63,7.29,3.8,71.68,1.08,2.36,2.26,81.99,66.6,piece_based
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),31.54,142.48,6.09,9.36,1.84,19.01,1.26,0.98,8.21,118.05,12.69,piece_based
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),29.82,124.63,7.03,8.17,2.35,34.04,3.81,0.95,5.76,123.98,26.91,katori_based
Dry arbi (Sookhi arbi),22.77,134.95,11.11,8.97,2.47,32.76,1.55,0.68,2.12,81.25,8.11,piece_based
Masala arbi,32.08,185.38,16.16,11.9,3.1,20.12,0.81,0.99,3.01,261.31,1.9,piece_based
Peas brinjal bhartha (Matar baingan bhartha),19.63,84.55,5.02,6.05,3.63,82.49,1.57,0.63,2.05,63.65,27.86,piece_based
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),67.88,110.81,4.5,9.27,3.57,85.27,1.42,0.88,1.83,92.78,29.07,piece_based
Crispy okra/Crispy lady's fingers (Karare bhindi),27.61,657.76,4.35,70.4,1.75,90.04,0.26,0.56,1.91,40.42,18.14,piece_based
Beans foogath,44.2,105.06,3.26,9.22,4.15,86.05,1.7,0.95,2.03,81.22,6.36,piece_based
Stuffed bittergourd (wet) (Bharwa karele),17.25,162.36,4.68,15.24,2.86,63.07,1.95,0.91,1.36,360.09,46.93,piece_based
Jackfruit/Kathal (dry),12.79,488.97,4.56,51.78,1.33,55.34,3.55,0.33,0.93,33.68,21.72,piece_based
Yam fried (Zimikand/Suran fried),8.11,491.76,5.47,51.79,1.44,35.57,0.8,0.43,0.79,37.07,30.3,piece_based
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",21.05,95.67,8.23,5.54,3.26,60.04,1.47,0.98,2.75,86.29,53.51,piece_based
Vegetable jalfrezi,27.11,68.48,5.43,4.38,2.97,28.48,1.79,0.68,1.4,79.46,26.08,piece_based
Vegetables stir fry ,13.3,30.78,3.19,1.47,1.37,61.93,0.86,0.34,1.04,55.0,38.17,piece_based
Broccoli delight,26.99,40.7,2.34,2.48,2.83,97.64,1.08,0.71,2.49,59.26,79.0,piece_based
Dhansak (vegetarian),26.4,82.8,7.28,4.18,4.17,45.12,0.91,1.26,3.32,34.18,13.25,piece_based
Cauliflower basket,100.19,90.95,3.97,5.88,2.4,88.46,1.47,0.92,5.21,194.22,71.55,piece_based
Stuffed bottle gourd (Stuffed ghiya/lauki),71.83,93.19,4.36,5.8,1.18,92.91,1.52,0.66,5.84,106.99,9.01,piece_based
Ducheese potato,18.1,140.54,10.94,9.01,1.29,8.71,0.29,0.76,3.6,103.85,7.23,piece_based
Roast potatoes ,10.38,87.32,14.52,2.35,1.71,11.66,0.33,0.57,1.53,90.67,17.36,piece_based
Stuffed baked potatoes ,25.72,100.2,11.03,4.39,1.31,23.25,0.4,0.81,3.82,92.09,18.77,piece_based
Potato nests,55.25,111.62,11.05,4.77,2.49,49.55,1.41,0.87,5.71,182.12,37.47,piece_based
Parsley potato,11.43,119.51,13.81,6.28,1.59,16.5,0.34,0.55,1.49,4.62,23.82,piece_based
Creamed spinach and mushroom,65.49,419.62,3.17,44.14,1.02,234.02,1.17,0.9,2.28,90.21,48.37,piece_based
Fricassee of Mushroom,84.97,106.66,8.13,6.63,1.23,37.46,2.51,0.36,3.65,118.98,39.68,piece_based
Cauliflower au gratin,119.69,145.9,9.13,10.2,1.44,69.55,3.01,0.57,4.45,164.96,50.15,piece_based
Vegetable and cheese pie,99.48,126.88,8.76,8.28,1.91,104.25,2.69,0.58,4.03,117.99,55.0,piece_based
Spinach souffle ,133.69,150.18,6.27,10.52,1.44,172.47,0.89,2.15,7.36,244.07,30.28,piece_based
Beetroot and egg salad (Chukandar aur ande ka salad),18.13,84.92,3.4,6.45,0.55,41.14,1.97,0.55,3.36,110.12,6.0,bowl_based
Sour cream potato salad,23.25,121.9,9.05,8.13,1.21,52.99,0.84,0.9,2.89,102.66,37.28,bowl_based
Tossed green salad,33.71,49.88,3.82,3.24,1.33,75.97,1.9,1.27,1.33,65.09,58.24,bowl_based
Spring basket salad,45.65,160.46,11.61,11.3,3.09,109.53,1.46,0.85,3.36,26.02,70.79,bowl_based
Cucumber and yogurt salad (Kheere aur dahi ka salad),68.49,36.13,4.72,0.93,1.66,21.36,2.28,0.52,2.09,141.73,6.74,bowl_based
Chicken and tomato towers,17.54,100.55,2.36,6.99,1.14,49.49,1.21,0.77,6.9,76.02,56.69,piece_based
Jellied sunshine fruit salad,37.14,48.86,4.21,0.85,1.8,37.7,2.86,0.87,5.85,74.2,28.75,bowl_based
Tomato aspic,44.28,50.37,5.02,0.26,1.58,39.01,3.21,1.18,6.87,98.17,35.87,piece_based
Frozen frosty fruit salad (Phalon ka salaad),28.61,103.51,15.61,4.17,0.26,20.91,14.38,0.41,1.68,13.23,33.45,bowl_based
French dressing,6.98,733.77,3.68,79.65,0.22,1.95,3.01,0.48,0.32,261.13,6.42,piece_based
Mayonnaise without eggs,75.54,329.05,3.98,33.84,0.04,18.85,3.68,0.27,2.13,193.58,12.05,piece_based
Curd dressing ,194.59,78.8,8.03,2.9,0.22,39.4,7.57,0.18,5.59,204.62,5.34,piece_based
Carrot raita (Gajar ka raita),146.72,64.78,7.19,2.19,1.69,32.0,5.99,0.55,4.14,274.46,7.76,piece_based
Pumpkin raita (Kaddu ka raita),130.11,55.6,6.02,1.88,1.04,31.7,5.48,0.33,3.74,129.14,7.11,piece_based
Mint and peanut raita (Pudinay aur moongfali ka raita),191.01,112.05,7.31,6.19,1.79,44.25,6.17,1.68,7.05,223.01,6.06,piece_based
Spinach raita (Palak ka raita),142.96,52.75,5.06,1.86,1.39,160.65,3.97,1.61,3.95,126.57,32.9,piece_based
Bathua raita,206.31,54.4,5.31,1.76,2.19,61.2,4.11,1.46,4.13,110.92,43.65,piece_based
Pineapple raita (Ananas ka raita),134.53,67.74,8.62,2.02,1.39,27.72,8.12,0.27,3.9,135.48,19.89,piece_based
Banana raita (Kele ka raita),133.23,89.03,13.51,2.07,1.0,27.58,10.11,0.31,4.13,135.43,5.73,piece_based
Mango raita (Aam ka raita),136.06,67.37,8.23,2.14,0.89,59.64,7.87,0.34,3.9,135.46,18.19,piece_based
Guava raita (Amarood ka raita),136.93,64.36,7.27,2.07,3.0,33.5,6.71,0.28,4.19,135.94,108.7,piece_based
Grapes raita (Angoor ka raita),134.52,72.59,9.66,2.07,0.71,22.88,8.51,0.26,3.98,135.64,10.55,piece_based
Bottle gourd kheer (Ghiya/Lauki kheer),94.18,84.07,10.0,3.86,0.55,35.87,9.63,0.23,2.7,19.62,6.2,piece_based
